requesterId,addresseeId,status
user-01,user-02,ACCEPTED
user-01,user-03,ACCEPTED
user-01,user-04,ACCEPTED
user-01,user-05,ACCEPTED
user-01,user-06,ACCEPTED
user-02,user-03,ACCEPTED
user-02,user-04,ACCEPTED
user-03,user-05,ACCEPTED
user-04,user-06,ACCEPTED
user-05,user-07,ACCEPTED
user-06,user-08,ACCEPTED
user-07,user-09,ACCEPTED
user-08,user-10,ACCEPTED
user-09,user-11,ACCEPTED
user-10,user-12,ACCEPTED
user-11,user-13,ACCEPTED
user-12,user-14,ACCEPTED
user-13,user-15,ACCEPTED
user-14,user-16,ACCEPTED
user-15,user-17,ACCEPTED
user-16,user-18,ACCEPTED
user-17,user-19,ACCEPTED
user-18,user-20,ACCEPTED
user-19,user-02,ACCEPTED
user-20,user-03,ACCEPTED
user-07,user-01,PENDING
user-08,user-01,PENDING
user-01,user-09,PENDING
user-01,user-10,PENDING
user-12,user-15,PENDING
user-14,user-17,PENDING
user-16,user-19,PENDING
user-06,user-20,PENDING
user-13,user-09,REJECTED
user-17,user-04,REJECTED
user-19,user-08,REJECTED
user-05,user-14,CANCELLED
user-18,user-02,CANCELLED
